nome,metodo_descoberta,num_plan_sist,periodo_orbita,distancia,massa,raio_terra,ano_descoberta,num_luas,link,data_publicacao
HD 114762 b,Radial Velocity,1,83.9151,40.23,0.8,,1989,0,http://exoplanets.org/detail/HD_114762_b,1989-05
PSR B1257+12 c,Pulsar Timing,3,66.5419,600.0,1.4,,1992,0,http://exoplanets.org/detail/PSR_B1257+12_B,1992-01
PSR B1257+12 d,Pulsar Timing,3,98.2114,600.0,1.4,,1992,0,http://exoplanets.org/detail/PSR_B1257+12_C,1992-01
PSR B1257+12 b,Pulsar Timing,3,25.262,600.0,1.4,,1994,0,http://exoplanets.org/detail/PSR_B1257+12_A,1994-04
51 Peg b,Radial Velocity,1,4.230785,15.47,1.12,,1995,0,http://exoplanets.org/detail/51_Peg_b,1995-11
tau Boo b,Radial Velocity,1,3.3124568,15.66,1.34,,1996,0,http://exoplanets.org/detail/tau_Boo_b,1997-01
47 UMa b,Radial Velocity,3,1078.0,13.8,1.03,,1996,0,http://exoplanets.org/detail/47_UMa_b,1996-06
55 Cnc b,Radial Velocity,5,14.65152,12.59,0.91,,1996,0,http://exoplanets.org/detail/55_Cnc_b,1997-01
ups And b,Radial Velocity,3,4.617033,13.41,1.3,,1996,0,http://exoplanets.org/detail/upsilon_And_b,1997-01
16 Cyg B b,Radial Velocity,1,798.5,21.15,1.08,,1996,0,http://exoplanets.org/detail/16_Cyg_B_b,1997-07
70 Vir b,Radial Velocity,1,116.688,17.91,1.09,,1996,0,http://exoplanets.org/detail/70_Vir_b,1996-06
rho CrB b,Radial Velocity,2,39.8458,17.48,0.89,,1997,0,http://exoplanets.org/detail/rho_CrB_b,1997-07
HD 187123 b,Radial Velocity,2,3.0965828,46.02,1.0,,1998,0,http://exoplanets.org/detail/HD_187123_b,1998-12
HD 217107 b,Radial Velocity,2,7.12682,20.07,1.0,,1998,0,http://exoplanets.org/detail/HD_217107_b,1999-01
HD 210277 b,Radial Velocity,1,442.19,21.31,1.01,,1998,0,http://exoplanets.org/detail/HD_210277_b,1999-07
HD 168443 b,Radial Velocity,2,58.11247,39.67,0.99,,1998,0,http://exoplanets.org/detail/HD_168443_b,1999-07
HD 195019 b,Radial Velocity,1,18.20132,37.71,1.21,,1998,0,http://exoplanets.org/detail/HD_195019_b,1999-01
GJ 876 b,Radial Velocity,4,61.1166,4.68,0.32,,1998,0,http://exoplanets.org/detail/GJ_876_b,1998-10
HD 10697 b,Radial Velocity,1,1075.69,33.15,1.13,,1999,0,http://exoplanets.org/detail/HD_10697_b,2000-06
HD 89744 b,Radial Velocity,1,256.78,38.68,1.86,,1999,0,http://exoplanets.org/detail/HD_89744_b,2000-04
HD 222582 b,Radial Velocity,1,572.38,42.21,1.12,,1999,0,http://exoplanets.org/detail/HD_222582_b,2000-06
HR 810 b,Radial Velocity,1,302.79999,17.33,1.34,,1999,0,http://exoplanets.org/detail/iota_Hor_b,2000-01
ups And d,Radial Velocity,3,1276.46,13.41,1.3,,1999,0,http://exoplanets.org/detail/upsilon_And_d,1999-12
HD 192263 b,Radial Velocity,1,24.3556,19.65,0.66,,1999,0,http://exoplanets.org/detail/HD_192263_b,2000-04
HD 209458 b,Radial Velocity,1,3.52474859,48.37,1.23,15.581,1999,0,http://exoplanets.org/detail/HD_209458_b,2000-01
HD 75289 b,Radial Velocity,1,3.50927,29.14,1.29,,1999,0,http://exoplanets.org/detail/HD_75289_b,2000-04
HD 177830 b,Radial Velocity,2,410.10001,62.88,1.7,,1999,0,http://exoplanets.org/detail/HD_177830_b,2000-06
HD 130322 b,Radial Velocity,1,10.70871,31.91,0.92,,1999,0,http://exoplanets.org/detail/HD_130322_b,2000-04
GJ 86 b,Radial Velocity,1,15.76491,10.79,0.93,,1999,0,http://exoplanets.org/detail/GJ_86_b,2000-02
ups And c,Radial Velocity,3,241.258,13.41,1.3,,1999,0,http://exoplanets.org/detail/upsilon_And_c,1999-12
HD 134987 b,Radial Velocity,2,258.17999,26.2,1.1,,1999,0,http://exoplanets.org/detail/HD_134987_b,2000-06
BD-10 3166 b,Radial Velocity,1,3.48777,84.61,1.47,,2000,0,http://exoplanets.org/detail/BD_-10_3166_b,2000-12
HD 38529 b,Radial Velocity,2,14.30944,42.41,1.41,,2000,0,http://exoplanets.org/detail/HD_38529_b,2001-04
HD 38529 c,Radial Velocity,2,2136.1,42.41,1.41,,2000,0,http://exoplanets.org/detail/HD_38529_c,2001-04
HD 92788 b,Radial Velocity,2,325.803,34.69,1.15,,2000,0,http://exoplanets.org/detail/HD_92788_b,2001-04
eps Eri b,Radial Velocity,1,2502.0,3.21,0.83,,2000,0,http://exoplanets.org/detail/epsilon_Eri_b,2000-12
HD 12661 b,Radial Velocity,2,262.70862,37.89,1.2,,2000,0,http://exoplanets.org/detail/HD_12661_b,2001-04
HD 160691 b,Radial Velocity,4,643.25,15.61,1.08,,2000,0,http://exoplanets.org/detail/mu_Ara_b,2001-07
HD 27442 b,Radial Velocity,1,428.1,18.28,1.23,,2000,0,http://exoplanets.org/detail/epsilon_Ret_b,2001-07
HD 46375 b,Radial Velocity,1,3.023573,29.58,0.92,,2000,0,http://exoplanets.org/detail/HD_46375_b,2000-06
HD 52265 b,Radial Velocity,1,119.27,30.01,1.2,,2000,0,http://exoplanets.org/detail/HD_52265_b,2000-12
HD 168443 c,Radial Velocity,2,1749.83,39.67,0.99,,2000,0,http://exoplanets.org/detail/HD_168443_c,2001-07
GJ 876 c,Radial Velocity,4,30.0881,4.68,0.32,,2000,0,http://exoplanets.org/detail/GJ_876_c,2001-07
HD 169830 b,Radial Velocity,2,225.62,37.64,1.4,,2000,0,http://exoplanets.org/detail/HD_169830_b,2001-08
GJ 3021 b,Radial Velocity,1,133.71,17.56,0.9,,2000,0,http://exoplanets.org/detail/HD_1237_b,2001-08
HD 179949 b,Radial Velocity,1,3.092514,27.48,1.21,,2000,0,http://exoplanets.org/detail/HD_179949_b,2001-04
HD 16141 b,Radial Velocity,1,75.523,37.83,1.11,,2000,0,http://exoplanets.org/detail/HD_16141_b,2000-06
HD 68988 b,Radial Velocity,1,6.27711,60.95,1.28,,2001,0,http://exoplanets.org/detail/HD_68988_b,2002-03
HD 4203 b,Radial Velocity,2,431.88,81.57,1.25,,2001,0,http://exoplanets.org/detail/HD_4203_b,2002-03
HD 39091 b,Radial Velocity,2,2093.07,18.28,1.09,,2001,0,http://exoplanets.org/detail/HD_39091_b,2002-07
HD 80606 b,Radial Velocity,1,111.4367,66.6,1.15,11.994000000000002,2001,0,http://exoplanets.org/detail/HD_80606_b,2001-08
HD 4208 b,Radial Velocity,1,832.97,34.23,0.88,,2001,0,http://exoplanets.org/detail/HD_4208_b,2002-03
HD 178911 B b,Radial Velocity,1,71.484,41.02,1.24,,2001,0,http://exoplanets.org/detail/HD_178911_B_b,2002-03
HD 213240 b,Radial Velocity,1,882.70001,40.92,1.57,,2001,0,http://exoplanets.org/detail/HD_213240_b,2001-12
47 UMa c,Radial Velocity,3,2391.0,13.8,1.03,,2001,0,http://exoplanets.org/detail/47_UMa_c,2002-01
HD 142 b,Radial Velocity,2,349.7,26.21,1.23,,2001,0,http://exoplanets.org/detail/HD_142_b,2002-05
HD 114783 b,Radial Velocity,2,493.7,20.4,0.85,,2001,0,http://exoplanets.org/detail/HD_114783_b,2002-03
HD 28185 b,Radial Velocity,1,379.0,39.43,1.02,,2001,0,http://exoplanets.org/detail/HD_28185_b,2001-12
HD 23079 b,Radial Velocity,1,730.59998,33.49,1.12,,2001,0,http://exoplanets.org/detail/HD_23079_b,2002-05
HD 37124 c,Radial Velocity,3,885.5,31.69,0.85,,2002,0,http://exoplanets.org/detail/HD_37124_c,2003-01
HD 12661 c,Radial Velocity,2,1708.0,37.89,1.2,,2002,0,http://exoplanets.org/detail/HD_12661_c,2003-04
HD 72659 b,Radial Velocity,1,3658.0,51.97,1.43,,2002,0,http://exoplanets.org/detail/HD_72659_b,2003-01
HD 168746 b,Radial Velocity,1,6.404,41.62,1.07,,2002,0,http://exoplanets.org/detail/HD_168746_b,2002-06
HD 196050 b,Radial Velocity,1,1378.0,50.75,1.31,,2002,0,http://exoplanets.org/detail/HD_196050_b,2002-12
HD 50554 b,Radial Velocity,1,1293.0,31.19,1.04,,2002,0,http://exoplanets.org/detail/HD_50554_b,2002-05
HD 49674 b,Radial Velocity,1,4.94737,43.09,1.03,,2002,0,http://exoplanets.org/detail/HD_49674_b,2003-01
HD 47536 b,Radial Velocity,1,712.13,122.95,0.91,,2002,0,,2003-02
HD 162020 b,Radial Velocity,1,8.4282,30.85,0.42,,2002,0,http://exoplanets.org/detail/HD_162020_b,2002-07
HD 73526 b,Radial Velocity,2,188.3,97.51,1.14,,2002,0,http://exoplanets.org/detail/HD_73526_b,2003-04
HD 2039 b,Radial Velocity,1,1120.0,85.9,1.23,,2002,0,http://exoplanets.org/detail/HD_2039_b,2003-04
HD 114729 b,Radial Velocity,1,1121.79,37.85,0.94,,2002,0,http://exoplanets.org/detail/HD_114729_b,2003-01
HD 216435 b,Radial Velocity,1,1311.0,33.01,1.3,,2002,0,http://exoplanets.org/detail/tau_Gru_b,2003-05
HD 40979 b,Radial Velocity,1,264.14999,34.12,1.45,,2002,0,http://exoplanets.org/detail/HD_40979_b,2003-04
HD 216437 b,Radial Velocity,1,1334.28,26.71,1.17,,2002,0,http://exoplanets.org/detail/HD_216437_b,2002-12
HD 37124 b,Radial Velocity,3,154.378,31.69,0.85,,2002,0,http://exoplanets.org/detail/HD_37124_b,2003-01
HD 141937 b,Radial Velocity,1,653.21997,33.39,1.09,,2002,0,http://exoplanets.org/detail/HD_141937_b,2002-07
HD 30177 b,Radial Velocity,2,2527.83,55.68,1.05,,2002,0,http://exoplanets.org/detail/HD_30177_b,2003-04
HD 128311 b,Radial Velocity,2,453.019,16.52,0.83,,2002,0,http://exoplanets.org/detail/HD_128311_b,2003-01
HD 83443 b,Radial Velocity,1,2.9857,40.95,0.79,,2002,0,http://exoplanets.org/detail/HD_83443_b,2002-10
14 Her b,Radial Velocity,1,1773.40002,17.94,0.9,,2002,0,http://exoplanets.org/detail/14_Her_b,2003-01
HD 76700 b,Radial Velocity,1,3.97097,60.99,0.99,,2002,0,http://exoplanets.org/detail/HD_76700_b,2003-04
iot Dra b,Radial Velocity,1,511.098,31.67,1.05,,2002,0,http://exoplanets.org/detail/iota_Dra_b,2002-09
HD 108147 b,Radial Velocity,1,10.8985,38.96,1.27,,2002,0,http://exoplanets.org/detail/HD_108147_b,2002-06
OGLE-TR-056 b,Transit,1,1.2119189,282.84,,15.277999999999999,2002,0,http://exoplanets.org/detail/OGLE-TR-56_b,2003-01
HD 8574 b,Radial Velocity,1,227.0,44.88,1.34,,2002,0,http://exoplanets.org/detail/HD_8574_b,2003-11
HD 108874 b,Radial Velocity,2,394.48123,59.62,1.1,,2002,0,http://exoplanets.org/detail/HD_108874_b,2003-01
HD 106252 b,Radial Velocity,1,1531.0,38.23,1.01,,2002,0,http://exoplanets.org/detail/HD_106252_b,2002-05
55 Cnc d,Radial Velocity,5,4825.0,12.59,0.91,,2002,0,http://exoplanets.org/detail/55_Cnc_d,2002-12
HD 169830 c,Radial Velocity,2,2102.0,37.64,1.4,,2003,0,http://exoplanets.org/detail/HD_169830_c,2004-02
HD 114386 b,Radial Velocity,1,937.70001,27.95,0.6,,2003,0,http://exoplanets.org/detail/HD_114386_b,2004-02
HD 104985 b,Radial Velocity,1,199.505,100.86,2.3,,2003,0,http://exoplanets.org/detail/HD_104985_b,2003-11
HD 74156 c,Radial Velocity,2,2473.0,64.6,1.24,,2003,0,http://exoplanets.org/detail/HD_74156_c,2004-01
PSR B1620-26 b,Pulsar Timing,1,,,1.35,,2003,0,,2003-07
HD 19994 b,Radial Velocity,1,466.2,22.54,1.36,,2003,0,http://exoplanets.org/detail/HD_19994_b,2004-02
HD 3651 b,Radial Velocity,1,62.25,11.14,0.8,,2003,0,http://exoplanets.org/detail/HD_3651_b,2003-06
HD 216770 b,Radial Velocity,1,118.45,36.7,0.74,,2003,0,http://exoplanets.org/detail/HD_216770_b,2004-02
HD 41004 B b,Radial Velocity,1,1.3283,43.03,0.4,,2003,0,,2003-06
HD 190360 b,Radial Velocity,2,2915.03687,16.01,0.99,,2003,0,http://exoplanets.org/detail/HD_190360_b,2003-11
HD 23596 b,Radial Velocity,1,1561.0,52.08,1.47,,2003,0,http://exoplanets.org/detail/HD_23596_b,2003-11
HD 65216 b,Radial Velocity,2,577.6,35.16,0.87,,2003,0,http://exoplanets.org/detail/HD_65216_b,2004-02
gam Cep b,Radial Velocity,1,903.3,13.54,1.4,,2003,0,http://exoplanets.org/detail/gamma_Cep_b,2003-12
HD 70642 b,Radial Velocity,1,2124.54,29.3,1.08,,2003,0,http://exoplanets.org/detail/HD_70642_b,2003-08
HD 74156 b,Radial Velocity,2,51.645,64.6,1.24,,2003,0,http://exoplanets.org/detail/HD_74156_b,2004-01
HD 147513 b,Radial Velocity,1,528.4,12.91,1.11,,2003,0,http://exoplanets.org/detail/HD_147513_b,2004-02
HD 6434 b,Radial Velocity,1,21.998,42.41,1.1,,2003,0,http://exoplanets.org/detail/HD_6434_b,2004-02
HD 142415 b,Radial Velocity,1,386.29999,35.57,1.07,,2003,0,http://exoplanets.org/detail/HD_142415_b,2004-02
HD 111232 b,Radial Velocity,1,1143.0,28.98,0.84,,2003,0,http://exoplanets.org/detail/HD_111232_b,2004-02
HD 82943 b,Radial Velocity,2,441.47,27.61,1.2,,2003,0,http://exoplanets.org/detail/HD_82943_b,2004-02
HD 82943 c,Radial Velocity,2,220.078,27.61,1.2,,2003,0,http://exoplanets.org/detail/HD_82943_c,2004-02
HD 121504 b,Radial Velocity,1,63.33,41.71,1.62,,2003,0,http://exoplanets.org/detail/HD_121504_b,2004-02
OGLE-TR-111 b,Transit,1,4.0144463,1096.98,0.85,11.422,2004,0,http://exoplanets.org/detail/OGLE-TR-111_b,2004-10
OGLE-TR-10 b,Transit,1,3.101278,1386.23,1.14,14.011,2004,0,http://exoplanets.org/detail/OGLE-TR-10_b,2005-05
OGLE-TR-113 b,Transit,1,1.4324752,600.0,0.78,12.251,2004,0,http://exoplanets.org/detail/OGLE-TR-113_b,2004-07
OGLE-TR-132 b,Transit,1,1.689868,2500.0,1.3,13.45,2004,0,http://exoplanets.org/detail/OGLE-TR-132_b,2004-07
HD 208487 b,Radial Velocity,1,130.08,44.0,1.13,,2004,0,http://exoplanets.org/detail/HD_208487_b,2005-04
HD 160691 d,Radial Velocity,4,9.6386,15.61,1.08,,2004,0,http://exoplanets.org/detail/mu_Ara_d,2004-10
GJ 436 b,Radial Velocity,1,2.64388312,9.76,0.47,4.17,2004,0,http://exoplanets.org/detail/GJ_436_b,2004-12
TrES-1 b,Transit,1,3.03007,160.39,1.04,12.665999999999999,2004,0,http://exoplanets.org/detail/TrES-1_b,2004-10
HD 160691 c,Radial Velocity,4,4205.8,15.61,1.08,,2004,0,http://exoplanets.org/detail/mu_Ara_c,2004-12
HD 188015 b,Radial Velocity,1,461.2,50.74,1.09,,2004,0,http://exoplanets.org/detail/HD_188015_b,2005-01
55 Cnc e,Radial Velocity,5,0.736539,12.59,0.91,1.91,2004,0,http://exoplanets.org/detail/55_Cnc_e,2004-10
HD 183263 b,Radial Velocity,2,626.51599,54.28,1.31,,2004,0,http://exoplanets.org/detail/HD_183263_b,2005-01
HD 154857 b,Radial Velocity,2,408.60001,63.56,1.96,,2004,0,http://exoplanets.org/detail/HD_154857_b,2004-12
55 Cnc c,Radial Velocity,5,44.4175,12.59,0.91,,2004,0,http://exoplanets.org/detail/55_Cnc_c,2004-10
2MASS J12073346-3932539 b,Imaging,1,,64.42,0.02,,2004,0,,2004-10
HD 202206 c,Radial Velocity,1,1260.0,46.03,1.27,,2004,0,http://exoplanets.org/detail/HD_202206_c,2005-09
HD 117618 b,Radial Velocity,1,25.8,37.82,1.08,,2004,0,http://exoplanets.org/detail/HD_117618_b,2005-04
HD 117207 b,Radial Velocity,1,2621.75,32.38,1.05,,2004,0,http://exoplanets.org/detail/HD_117207_b,2005-01
DH Tau b,Imaging,1,,140.0,0.33,,2004,0,,2005-02
HD 41004 A b,Radial Velocity,1,963.0,43.03,0.7,,2004,0,,2004-11
HD 37605 b,Radial Velocity,2,55.01292,46.85,0.94,,2004,0,http://exoplanets.org/detail/HD_37605_b,2004-08
GQ Lup b,Imaging,1,,151.82,0.7,33.6,2004,0,,2005-05
HD 88133 b,Radial Velocity,1,3.414884,73.77,1.26,,2004,0,http://exoplanets.org/detail/HD_88133_b,2005-02
HD 45350 b,Radial Velocity,1,963.6,46.94,1.02,,2004,0,http://exoplanets.org/detail/HD_45350_b,2005-01
HD 330075 b,Radial Velocity,1,3.38773,45.36,0.47,,2004,0,http://exoplanets.org/detail/HD_330075_b,2004-08
OGLE-2003-BLG-235L b,Microlensing,1,,5800.0,0.63,,2004,0,http://exoplanets.org/detail/OGLE235-MOA53_b,2004-05
HD 99492 b,Radial Velocity,1,17.0431,18.21,0.48,,2004,0,http://exoplanets.org/detail/HD_99492_b,2005-01
GJ 581 b,Radial Velocity,3,5.3686,6.3,0.31,,2005,0,http://exoplanets.org/detail/GJ_581_b,2005-12
HD 99109 b,Radial Velocity,1,439.29999,54.88,0.76,,2005,0,http://exoplanets.org/detail/HD_99109_b,2006-07
HD 73526 c,Radial Velocity,2,379.1,97.51,1.14,,2005,0,http://exoplanets.org/detail/HD_73526_c,2006-08
HD 13189 b,Radial Velocity,1,471.60001,504.71,2.24,,2005,0,http://exoplanets.org/detail/HD_13189_b,2005-07
HD 81040 b,Radial Velocity,1,1001.70001,34.47,1.05,,2005,0,http://exoplanets.org/detail/HD_81040_b,2006-04
HD 109749 b,Radial Velocity,1,5.239891,63.2,1.13,,2005,0,http://exoplanets.org/detail/HD_109749_b,2006-02
HD 128311 c,Radial Velocity,2,921.538,16.52,0.83,,2005,0,http://exoplanets.org/detail/HD_128311_c,2005-10
HD 142022 A b,Radial Velocity,1,1928.0,34.31,0.9,,2005,0,http://exoplanets.org/detail/HD_142022_b,2006-03
HD 118203 b,Radial Velocity,1,6.1335,92.51,1.84,,2005,0,http://exoplanets.org/detail/HD_118203_b,2006-02
HD 149143 b,Radial Velocity,1,4.07182,73.43,1.2,,2005,0,http://exoplanets.org/detail/HD_149143_b,2006-02
HD 11964 b,Radial Velocity,2,1945.0,33.57,1.12,,2005,0,http://exoplanets.org/detail/HD_11964_b,2006-07
HD 101930 b,Radial Velocity,1,70.46,30.05,0.57,,2005,0,http://exoplanets.org/detail/HD_101930_b,2005-07
HD 11977 b,Radial Velocity,1,711.0,68.05,1.91,,2005,0,http://exoplanets.org/detail/HD_11977_b,2005-07
HD 164922 b,Radial Velocity,2,1155.0,22.02,0.76,,2005,0,http://exoplanets.org/detail/HD_164922_b,2006-07
HD 189733 b,Radial Velocity,1,2.21857567,19.78,0.79,12.665999999999999,2005,0,http://exoplanets.org/detail/HD_189733_b,2005-12
HD 50499 b,Radial Velocity,2,2447.1,46.35,1.25,,2005,0,http://exoplanets.org/detail/HD_50499_b,2005-10
HD 63454 b,Radial Velocity,1,2.81805,37.73,0.42,,2005,0,http://exoplanets.org/detail/HD_63454_b,2005-08
HD 149026 b,Radial Velocity,1,2.87589,76.03,1.42,8.295,2005,0,http://exoplanets.org/detail/HD_149026_b,2005-11
HD 66428 b,Radial Velocity,1,2263.12,53.36,1.08,,2005,0,http://exoplanets.org/detail/HD_66428_b,2006-07
HD 102117 b,Radial Velocity,1,20.8133,39.62,1.06,,2005,0,http://exoplanets.org/detail/HD_102117_b,2005-07
HD 2638 b,Radial Velocity,1,3.4442,55.05,0.77,,2005,0,http://exoplanets.org/detail/HD_2638_b,2005-08
HD 93083 b,Radial Velocity,1,143.58,28.54,0.7,,2005,0,http://exoplanets.org/detail/HD_93083_b,2005-07
HD 4308 b,Radial Velocity,1,15.56,22.03,0.93,,2005,0,http://exoplanets.org/detail/HD_4308_b,2006-02
HD 33564 b,Radial Velocity,1,388.0,20.97,1.25,,2005,0,http://exoplanets.org/detail/HD_33564_b,2005-12
HD 108874 c,Radial Velocity,2,1624.0,59.62,1.1,,2005,0,http://exoplanets.org/detail/HD_108874_c,2005-10
HD 107148 b,Radial Velocity,1,48.056,49.49,1.12,,2005,0,http://exoplanets.org/detail/HD_107148_b,2006-07
AB Pic b,Imaging,1,,50.12,,,2005,0,,2005-08
HD 217107 c,Radial Velocity,2,4270.0,20.07,1.0,,2005,0,http://exoplanets.org/detail/HD_217107_c,2005-10
HD 190360 c,Radial Velocity,2,17.111,16.01,0.99,,2005,0,http://exoplanets.org/detail/HD_190360_c,2005-10
HD 37124 d,Radial Velocity,3,1862.0,31.69,0.85,,2005,0,http://exoplanets.org/detail/HD_37124_d,2005-10
HD 27894 b,Radial Velocity,3,18.02,43.88,0.8,,2005,0,http://exoplanets.org/detail/HD_27894_b,2005-08
HD 212301 b,Radial Velocity,1,2.24571,54.32,1.55,,2005,0,http://exoplanets.org/detail/HD_212301_b,2006-05
OGLE-2005-BLG-071L b,Microlensing,1,,3200.0,0.46,,2005,0,http://exoplanets.org/detail/OGLE-05-071L_b,2005-08
HIP 14810 b,Radial Velocity,3,6.673892,50.55,1.01,,2005,0,http://exoplanets.org/detail/HIP_14810_b,2006-07
OGLE-2005-BLG-390L b,Microlensing,1,3285.0,6600.0,0.22,,2005,0,http://exoplanets.org/detail/OGLE-05-390L_b,2006-01
GJ 876 d,Radial Velocity,4,1.93778,4.68,0.32,,2005,0,http://exoplanets.org/detail/GJ_876_d,2005-11
OGLE-2005-BLG-169L b,Microlensing,1,,4100.0,0.69,,2006,0,http://exoplanets.org/detail/OGLE-05-169L_b,2006-06
HD 23127 b,Radial Velocity,1,1211.17,94.11,1.21,,2006,0,http://exoplanets.org/detail/HD_23127_b,2007-05
HD 62509 b,Radial Velocity,1,589.64,10.34,2.1,,2006,0,http://exoplanets.org/detail/beta_Gem_b,2006-10
HD 159868 b,Radial Velocity,2,1184.1,55.94,1.19,,2006,0,http://exoplanets.org/detail/HD_159868_b,2007-05
HD 69830 d,Radial Velocity,3,197.0,12.56,0.86,,2006,0,http://exoplanets.org/detail/HD_69830_d,2006-05
HD 69830 b,Radial Velocity,3,8.667,12.56,0.86,,2006,0,http://exoplanets.org/detail/HD_69830_b,2006-05
HD 154345 b,Radial Velocity,1,3341.55884,18.29,0.71,,2006,0,http://exoplanets.org/detail/HD_154345_b,2007-03
HD 224693 b,Radial Velocity,1,26.6904,93.75,1.31,,2006,0,http://exoplanets.org/detail/HD_224693_b,2006-08
eps Tau b,Radial Velocity,1,594.9,49.23,2.7,,2006,0,http://exoplanets.org/detail/epsilon_Tau_b,2007-05
HD 69830 c,Radial Velocity,3,31.56,12.56,0.86,,2006,0,http://exoplanets.org/detail/HD_69830_c,2006-05
HAT-P-1 b,Transit,1,4.46529976,159.71,1.15,14.785,2006,0,http://exoplanets.org/detail/HAT-P-1_b,2007-02
HD 33283 b,Radial Velocity,1,18.1991,90.1,1.38,,2006,0,http://exoplanets.org/detail/HD_33283_b,2006-08
TrES-2 b,Transit,1,2.47063,216.66,1.36,15.244000000000002,2006,0,http://exoplanets.org/detail/TrES-2_b,2006-11
XO-1 b,Transit,1,3.94153,164.33,0.88,12.777999999999999,2006,0,http://exoplanets.org/detail/XO-1_b,2006-09
SWEEPS-4 b,Transit,1,4.2,8500.0,1.24,9.079,2006,0,,2006-10
HD 10647 b,Radial Velocity,1,989.2,17.34,1.11,,2006,0,http://exoplanets.org/detail/HD_10647_b,2006-07
CHXR 73 b,Imaging,1,,191.05,0.35,,2006,0,,2006-10
HD 187085 b,Radial Velocity,1,1019.74,45.96,1.19,,2006,0,http://exoplanets.org/detail/HD_187085_b,2006-06
HD 185269 b,Radial Velocity,1,6.83776,52.07,1.3,,2006,0,http://exoplanets.org/detail/HD_185269_b,2006-12
SWEEPS-11 b,Transit,1,1.796,8500.0,1.1,12.665999999999999,2006,0,,2006-10
HD 24040 b,Radial Velocity,1,3668.0,46.68,1.11,,2006,0,http://exoplanets.org/detail/HD_24040_b,2007-03
HIP 14810 c,Radial Velocity,3,147.747,50.55,1.01,,2006,0,http://exoplanets.org/detail/HIP_14810_c,2007-03
HD 160691 e,Radial Velocity,4,310.55,15.61,1.08,,2006,0,http://exoplanets.org/detail/mu_Ara_e,2007-02
GJ 849 b,Radial Velocity,1,1882.0,8.8,0.65,,2006,0,http://exoplanets.org/detail/GJ_849_b,2006-12
HD 203030 b,Imaging,1,,39.29,,,2006,0,,2006-11
Oph 11 b,Imaging,1,7300000.0,125.0,0.02,,2006,0,,2007-05
HD 20782 b,Radial Velocity,1,597.0643,36.02,1.07,,2006,0,http://exoplanets.org/detail/HD_20782_b,2006-06
HD 86081 b,Radial Velocity,1,2.1378431,104.24,1.21,,2006,0,http://exoplanets.org/detail/HD_86081_b,2006-08
HD 102195 b,Radial Velocity,1,4.11377,29.36,0.76,,2006,0,http://exoplanets.org/detail/HD_102195_b,2006-09
4 UMa b,Radial Velocity,1,269.3,73.58,1.23,,2006,0,http://exoplanets.org/detail/4_UMa_b,2007-09
HN Peg b,Imaging,1,,18.13,1.1,11.777000000000001,2006,0,,2007-01
HAT-P-6 b,Transit,1,3.85298,277.5,1.79,16.589000000000002,2007,0,http://exoplanets.org/detail/HAT-P-6_b,2008-01
HD 125612 b,Radial Velocity,3,557.04,57.72,1.11,,2007,0,http://exoplanets.org/detail/HD_125612_b,2007-11
HAT-P-5 b,Transit,1,2.78849,306.01,1.04,13.562999999999999,2007,0,http://exoplanets.org/detail/HAT-P-5_b,2007-12
HD 11506 b,Radial Velocity,2,1622.1,51.34,1.24,,2007,0,http://exoplanets.org/detail/HD_11506_b,2007-11
HD 100777 b,Radial Velocity,1,383.70001,49.6,0.83,,2007,0,http://exoplanets.org/detail/HD_100777_b,2007-08
11 Com b,Radial Velocity,1,326.03,93.37,2.7,,2007,0,http://exoplanets.org/detail/11_Com_b,2008-01
HD 155358 b,Radial Velocity,2,194.3,43.67,1.15,,2007,0,http://exoplanets.org/detail/HD_155358_b,2007-08
HD 75898 b,Radial Velocity,1,422.9,78.23,1.26,,2007,0,http://exoplanets.org/detail/HD_75898_b,2007-12
HD 81688 b,Radial Velocity,1,184.02,85.92,2.1,,2007,0,http://exoplanets.org/detail/HD_81688_b,2008-06
Lupus-TR-3 b,Transit,1,3.91405,2000.0,0.87,9.976,2007,0,,2008-03
OGLE-TR-182 b,Transit,1,3.9791,2669.56,1.14,12.665999999999999,2007,0,http://exoplanets.org/detail/OGLE-TR-182_b,2008-08
OGLE-TR-211 b,Transit,1,3.67724,1574.54,1.33,15.244000000000002,2007,0,http://exoplanets.org/detail/OGLE-TR-211_b,2008-04
TrES-3 b,Transit,1,1.30618581,228.0,0.93,14.975,2007,0,http://exoplanets.org/detail/TrES-3_b,2007-07
TrES-4 b,Transit,1,3.55395,523.7,1.08,18.046,2007,0,http://exoplanets.org/detail/TrES-4_b,2007-10
V0391 Peg b,Pulsation Timing Variations,1,1170.0,1400.0,0.5,,2007,0,,2007-09
WASP-1 b,Transit,1,2.5199454,397.29,1.24,16.623,2007,0,http://exoplanets.org/detail/WASP-1_b,2007-03
WASP-2 b,Transit,1,2.152175,153.89,0.9,12.117,2007,0,http://exoplanets.org/detail/WASP-2_b,2007-03
WASP-3 b,Transit,1,1.84683,232.7,1.62,15.917,2007,0,http://exoplanets.org/detail/WASP-3_b,2008-04
WASP-4 b,Transit,1,1.33823147,269.21,0.86,14.807,2007,0,http://exoplanets.org/detail/WASP-4_b,2008-03
XO-2 N b,Transit,1,2.61586178,154.94,0.97,11.130999999999998,2007,0,http://exoplanets.org/detail/XO-2_b,2007-12
